;date;Italy;US;Spain;Germany;Korea, South;Italy-fP;US-fP;Spain-fP;Germany-fP;Korea, South-fP
112;2020-06-17;237828;2163290;244683;188604;12257;305850.1981788171;2370395.21930619;346493.44102173595;250905.1182997158;14569.248274587411
113;2020-06-18;238159;2191099;245268;189817;12306;303182.1424416839;2403807.591505371;352670.64612421725;256184.47375104052;14649.238697786113
114;2020-06-19;238011;2222579;245575;190299;12373;300223.324643515;2437690.9340710705;357967.0628820807;260905.49087208768;14723.302377834772
115;2020-06-20;238275;2255328;245938;190670;12421;296996.6197397953;2472051.8857664634;362374.98759511934;265046.0069095869;14791.33028525208
116;2020-06-21;238499;2281767;246272;191272;12438;293524.5981745475;2506897.178893268;365897.0942899398;268590.3679640043;14853.22326648585
117;2020-06-22;238720;2312303;246504;191768;12484;289829.3762291949;2542233.640624359;368545.5599880519;271529.39512147085;14908.892514214998
118;2020-06-23;238833;2347491;246752;192480;12535;285932.48727387586;2578068.194350224;370341.033252448;273860.19562917145;14958.259760693903
119;2020-06-24;239410;2382426;247086;192871;12563;281854.77772547497;2614407.8610411603;371311.50145662035;275585.8496704086;15001.257511764163
120;2020-06-25;239706;2422299;247486;193371;12602;277616.32152687956;2651259.7606265023;371491.1174171371;276714.98338061734;15037.829311082865
121;2020-06-26;239961;2467554;247905;194036;12653;273236.3554259697;2688631.1133919163;370919.02362724586;277261.2643985737;15067.929824404171
122;2020-06-27;240136;2510259;248469;194458;12715;268733.2295446885;2726529.24139558;369638.21455162234;277242.82993416593;15091.524981091681
123;2020-06-28;240310;2549864;248770;194693;12757;264124.3745085029;2764961.5699036825;367694.47081392107;276681.6829445799;15108.59208329205
124;2020-06-29;240436;2590668;248970;195042;12800;259426.28061959546;2803935.628848653;365135.3808489606;275603.0713257732;15119.119785447112
125;2020-06-30;240578;2636414;249271;195418;12850;254654.48971139605;2843459.0543053243;362009.46699854604;274034.86738044635;15123.108114497214
126;2020-07-01;240760;2687588;249659;195893;12904;249823.595896192;2883539.589971508;358365.4230042606;272006.9730606865;15120.56842452465
127;2020-07-02;240961;2742049;250103;196370;12967;244947.25563196582;2924185.0886708857;354251.4633029326;269550.74956041167;15111.52328165389
128;2020-07-03;241184;2795361;250545;196780;13030;240038.2039028436;2965403.515873216;349714.78043595044;266698.4959766917;15096.006343331104
129;2020-07-04;241419;2841241;250545;197198;13091;235108.2769640716;3007202.9471715307;344801.10672695405;263482.97124237794;15074.062186608286
130;2020-07-05;241611;2891124;250545;197523;13137;230168.43888244432;3049591.570603698;339554.3730016513;259936.97186916997;15045.746107646932
131;2020-07-06;241819;2936077;251789;198064;13181;225228.81269231526;3092577.6911091306;334016.44928281236;256092.96188402726;15011.1238448176
132;2020-07-07;241956;2996098;252130;198343;13244;220298.71250510032;3136169.730898979;328226.9612218666;251982.75869144645;14970.27128943566
133;2020-07-08;242149;3054699;252513;198699;13293;215386.67915440293;3180376.2310541626;322223.1747504535;247637.2694261901;14923.274245145198
134;2020-07-09;242363;3117946;253056;199001;13338;210500.5179265326;3225205.853288283;316039.9300698764;243086.27796015638;14870.228034193873
135;2020-07-10;242639;3185737;253908;199332;13373;205647.33328236372;3270667.3790540164;309709.6280633217;238358.2759011471;14811.237063535664
136;2020-07-11;242827;3245925;253908;199709;13417;200833.56898297527;3316769.716343226;303262.2466945297;233480.33904917553;14746.41446477813
137;2020-07-12;243061;3304942;253908;199919;13479;196065.04248897618;3363521.894210948;296725.3943642615;228478.0356010692;14675.881818133843
138;2020-07-13;243230;3364157;255953;200180;13512;191346.98441779497;3410933.0698665786;290124.37983616564;223375.37073013367;14599.768485620274
139;2020-07-14;243344;3431574;256619;200456;13551;186684.0725841325;3459012.5436523836;283482.30445436336;218194.75717234306;14518.211161371917
140;2020-07-15;243506;3498902;257494;200890;13612;182080.46820084887;3507769.7354588727;276820.16321236297;212957.01113013367;14431.353577618707
141;2020-07-16;243736;3576157;258855;201450;13672;177539.84948388574;3557214.193477056;270156.9562856416;207681.36672754725;14339.345939025738
142;2020-07-17;243967;3647715;260255;202045;13711;173065.4440719509;3607355.6059579668;263509.8042481777;202385.5073723554;14242.344262950675
143;2020-07-18;244216;3711413;260255;202426;13745;168660.06124786902;3658203.739480425;256894.06608888376;197085.61024979997;14140.509931201475
144;2020-07-19;244434;3773260;260255;202735;13771;164326.12081160597;3709768.72541704;250323.45628220035;191796.40061447394;14034.009394940917
145;2020-07-20;244624;3834677;264836;203325;13816;160065.68286725815;3762060.502201897;243810.16227812262;186531.21398925484;13923.013447006191
146;2020-07-21;244752;3899211;266194;203717;13879;155880.47388872973;3815089.3670582594;237364.95720392914;181302.06360465358;13807.696730252319
147;2020-07-22;245032;3970121;267551;204276;13938;151771.91323906343;3868865.7106896294;230997.30566291627;176119.7115457003;13688.237226526224
148;2020-07-23;245338;4038816;270166;204881;13979;147741.13693253952;3923400.069590784;224715.47358244553;170993.74197219434;13564.81569659314
149;2020-07-24;245590;4112531;272421;205623;14092;143789.0207727571;3978703.1282942793;218526.62207797705;165932.63485451174;13437.615213938941
150;2020-07-25;245864;4178970;272421;206278;14150;139916.20185582718;4034785.7220099387;212436.9012316378;160943.83970997285;13306.820767613346
151;2020-07-26;246118;4233923;272421;206667;14175;136123.09864080543;4091658.8398263124;206451.54095116493;156033.84760802577;13172.618611941916
152;2020-07-27;246286;4290337;278782;207112;14203;132409.93012144993;4149333.6255867546;200574.93394934374;151208.26292032696;13035.195864204321
153;2020-07-28;246488;4356206;280610;207707;14251;128776.73327907918;4207821.37150809;194810.7083928432;146471.87007441476;12894.740062218647
154;2020-07-29;246776;4426982;282641;208546;14269;125223.37986737651;4267133.535637909;189161.80020805573;141828.69940217328;12751.438642070985
155;2020-07-30;247158;4495015;285430;209535;14305;121749.59166972402;4327281.752323072;183630.52117012467;137282.09087259046;12605.478574600644
156;2020-07-31;247537;4562107;288522;210399;14336;118354.95500386397;4388277.803668664;178218.61962137822;132834.75092988426;12457.045948802564
157;2020-08-01;247832;4620592;288522;211005;14366;115038.93397215453;4450133.636166321;172927.3352513539;128488.81115068127;12306.325519853623
158;2020-08-02;248070;4668172;288522;211220;14389;111800.88287352768;4512861.3704319075;167757.4518213233;124245.87919178532;12153.500394498475
159;2020-08-03;248229;4713540;297054;212111;14423;108640.05791302367;4576473.294868628;162709.3448511184;120107.0884174729;11998.751655066122
160;2020-08-04;248419;4771080;302814;212828;14456;105555.62770184732;4640981.873192523;157783.02519690339;116073.14508889006;11842.257996995582
161;2020-08-05;248803;4823890;305767;214113;14499;102546.6831704631;4706399.744833317;152978.1789582261;112144.36950507706;11684.195460579776
162;2020-08-06;249204;4883582;309855;215039;14519;99612.24670279767;4772739.728102265;148294.2042077558;108320.73758236639;11524.737113784595
163;2020-08-07;249756;4941755;314362;216196;14562;96751.28059409308;4840014.819797396;143730.244054031;104601.91674802295;11364.052772405763
164;2020-08-08;250103;4997929;314362;216903;14598;93962.69476772648;4908238.200810677;139285.21716458438;100987.30018242732;11202.308778998078
165;2020-08-09;250566;5044864;314362;217288;14626;91245.35397879007;4977423.238809302;134957.84553492308;97476.03878032742;11039.667751401528
166;2020-08-10;250825;5094400;322980;218508;14660;88598.0844324827;5047583.487713402;130746.67957695376;94067.06912945575;10876.288374419933
167;2020-08-11;251237;5141208;326612;219540;14714;86019.67970578418;5118732.699854135;126650.12075824286;90759.14085450793;10712.325233468659
168;2020-08-12;251713;5197411;329784;220859;14770;83508.90643545992;5190884.802783014;122666.44292470544;87550.84040719607;10547.928643423555
169;2020-08-13;252235;5248854;337334;222281;14873;81064.5093640632;5264053.930662019;118793.81115545312;84440.61330855772;10383.244500790539
